iter	Logloss
0	0.6795908203
1	0.6671060547
2	0.649782959
3	0.6373671875
4	0.6248972656
5	0.6128085937
6	0.5994160156
7	0.5844228027
8	0.5727427734
9	0.5622057617
10	0.5533906738
11	0.5424008301
12	0.5339646484
13	0.5247285156
14	0.5167878906
15	0.5085428223
16	0.5006193359
17	0.4932925293
18	0.4862790527
19	0.4783805664
20	0.4706754883
21	0.4634625977
22	0.4576197754
23	0.4509451172
24	0.4441577148
25	0.4344209473
26	0.4291856445
27	0.4245946289
28	0.4190923828
29	0.4122223633
30	0.4061643311
31	0.4008218994
32	0.3963373535
33	0.3929087891
34	0.3891368896
35	0.3848037109
36	0.3807811523
37	0.3769524902
38	0.3723025635
39	0.3672632813
40	0.3637092285
41	0.3598808105
42	0.355415625
43	0.3510743408
44	0.3479740723
45	0.3446773437
46	0.3412686035
47	0.3371245117
48	0.3336636963
49	0.3301470215
50	0.3268721924
51	0.32455
52	0.3211968994
53	0.3179973633
54	0.3157701904
55	0.31256521
56	0.3092149414
57	0.3070455566
58	0.3046772949
59	0.3027374512
60	0.3008693115
61	0.2979503418
62	0.2954848389
63	0.2930543945
64	0.2910455322
65	0.2887761719
66	0.2869651855
67	0.2843942871
68	0.283161377
69	0.281707373
70	0.2792383789
71	0.2773033936
72	0.2751841797
73	0.2737615967
74	0.2721079102
75	0.270613916
76	0.2693217773
77	0.2682904053
78	0.2668055664
79	0.2654331787
80	0.2638370117
81	0.2625961426
82	0.2610661865
83	0.2595226562
84	0.2582679932
85	0.2570850586
86	0.2556645264
87	0.2536295166
88	0.2520388428
89	0.2498880859
90	0.2482684082
91	0.2468902344
92	0.2458759521
93	0.2447178223
94	0.244105249
95	0.2429561279
96	0.2417572998
97	0.2405592041
98	0.2391609131
99	0.2382329102
100	0.2371254395
101	0.2361333008
102	0.2343257324
103	0.2328488281
104	0.2315778809
105	0.2303314941
106	0.2284517822
107	0.227245459
108	0.2262195312
109	0.2248086914
110	0.2234917969
111	0.222673291
112	0.2217550537
113	0.2205077637
114	0.2196193848
115	0.2188312988
116	0.2179404541
117	0.2171033447
118	0.2163682129
119	0.2150936279
120	0.2142373535
121	0.213518457
122	0.212767627
123	0.2115441895
124	0.2102134033
125	0.2094102295
126	0.2081217773
127	0.2071037842
128	0.2061467529
129	0.2053890625
130	0.2046774536
131	0.2037756348
132	0.2029350342
133	0.2020146484
134	0.2007475342
135	0.200029895
136	0.1990610596
137	0.1983398437
138	0.1978082764
139	0.1970287354
140	0.1963707764
141	0.1955725098
142	0.1949946533
143	0.1945997314
144	0.1941330322
145	0.1928882202
146	0.1921470581
147	0.191539978
148	0.19075
149	0.1901967773
150	0.1894140381
151	0.18849021
152	0.1878644531
153	0.187176416
154	0.1863932129
155	0.1857687134
156	0.1851128662
157	0.1843183838
158	0.1837036621
159	0.1829968872
160	0.1823738525
161	0.1817985107
162	0.1810621582
163	0.1804758057
164	0.1798777954
165	0.1791287598
166	0.1784890869
167	0.1778832275
168	0.1769450928
169	0.1761059692
170	0.1754200439
171	0.1746689453
172	0.1741894775
173	0.1735962158
174	0.1731237061
175	0.172583667
176	0.1721338135
177	0.1715580444
178	0.1710511475
179	0.1705760986
180	0.1700614746
181	0.1693759033
182	0.1689339844
183	0.1686181885
184	0.1682387207
185	0.1675311035
186	0.1668115723
187	0.1661044556
188	0.1656294067
189	0.1649668457
190	0.164584021
191	0.1640865967
192	0.1637488525
193	0.1632717773
194	0.1627031128
195	0.1621022339
196	0.1615586792
197	0.1609408813
198	0.1605873047
199	0.1600626831
200	0.1597060669
201	0.1593683594
202	0.1586859619
203	0.1583677246
204	0.1580730103
205	0.1576366699
206	0.1573048828
207	0.1569136108
208	0.1563090088
209	0.1559196289
210	0.1554591064
211	0.1549564331
212	0.1541234131
213	0.1535747681
214	0.1530677856
215	0.1524550049
216	0.15206521
217	0.1516334473
218	0.1511944336
219	0.1508637695
220	0.150472937
221	0.1501842285
222	0.1497194336
223	0.1491254272
224	0.1486775513
225	0.1482495117
226	0.1477310547
227	0.1471956055
228	0.1467164551
229	0.1464466919
230	0.1461105591
231	0.1457369873
232	0.1452259521
233	0.1449005371
234	0.1445215332
235	0.1441745361
236	0.143786792
237	0.143506604
238	0.1430739014
239	0.1423795776
240	0.14203125
241	0.1418010254
242	0.1412092651
243	0.1409128906
244	0.1405107178
245	0.1400195068
246	0.1397342285
247	0.1392756104
248	0.1388625732
249	0.1384930176
250	0.1383210083
251	0.1380458496
252	0.1377373901
253	0.1373277954
254	0.1370693481
255	0.1366759033
256	0.1362445312
257	0.1357736084
258	0.1354392334
259	0.1351859375
260	0.1347831787
261	0.1345648926
262	0.1342607422
263	0.1339830566
264	0.1337637085
265	0.1334887207
266	0.133122168
267	0.1329210449
268	0.1325873779
269	0.1322699463
270	0.1319291992
271	0.1316410156
272	0.131334436
273	0.1310579712
274	0.1308450806
275	0.1306081299
276	0.1302359985
277	0.1297529053
278	0.12934104
279	0.1292788086
280	0.1290450684
281	0.1287172607
282	0.1284071045
283	0.1281091797
284	0.1279822021
285	0.1276975342
286	0.127406543
287	0.1270865967
288	0.1267190308
289	0.1265057495
290	0.1261952393
291	0.1260371582
292	0.1255431885
293	0.1252161133
294	0.1249431274
295	0.1245994141
296	0.1243905518
297	0.1241756348
298	0.1240082764
299	0.1236909302
300	0.1234066895
301	0.1230272949
302	0.1226720947
303	0.1224638672
304	0.1223259277
305	0.1220448364
306	0.1216903564
307	0.1214439697
308	0.1209449951
309	0.1207545532
310	0.1206217407
311	0.1203806152
312	0.1200458252
313	0.1197641846
314	0.1194421753
315	0.1190964233
316	0.1187062866
317	0.1185598999
318	0.1183110107
319	0.1180787231
320	0.1178383057
321	0.1175173096
322	0.117341748
323	0.1171007324
324	0.1169927002
325	0.1167866211
326	0.1165161377
327	0.1163209717
328	0.1160901611
329	0.1158477539
330	0.1157367187
331	0.1154503662
332	0.115303479
333	0.1152047485
334	0.1150133301
335	0.1147520386
336	0.1145757324
337	0.1143421753
338	0.1141100586
339	0.1138994385
340	0.1136943604
341	0.1135330078
342	0.1133185425
343	0.1130510742
344	0.1128932983
345	0.1126242676
346	0.1123884399
347	0.1122726685
348	0.1121196289
349	0.1119460938
350	0.1117284058
351	0.1115237549
352	0.1112012451
353	0.1111354248
354	0.1108692261
355	0.1107145752
356	0.1105909668
357	0.110388916
358	0.1101857422
359	0.1100255371
360	0.1098101318
361	0.1095333252
362	0.1093914795
363	0.109205542
364	0.1090809326
365	0.1088619873
366	0.1087111328
367	0.1085931396
368	0.1084600586
369	0.1083002197
370	0.10817146
371	0.1079718506
372	0.1077668823
373	0.1075105591
374	0.1072308716
375	0.1071223633
376	0.1069046631
377	0.1067380371
378	0.1064560669
379	0.1063186768
380	0.1061359741
381	0.1060069214
382	0.1057989014
383	0.1055872314
384	0.1055306641
385	0.1052961548
386	0.105043689
387	0.1048922363
388	0.1046724854
389	0.1044699463
390	0.1043150879
391	0.1041155029
392	0.1039205444
393	0.1037120117
394	0.1035063232
395	0.103277832
396	0.1031692505
397	0.1029324341
398	0.1027655396
399	0.1026098389
400	0.10246875
401	0.1023435486
402	0.1021706909
403	0.1019200562
404	0.101734375
405	0.1015564209
406	0.1014648743
407	0.1012637024
408	0.1011809082
409	0.1009641602
410	0.1007418884
411	0.100638269
412	0.1004576843
413	0.100294751
414	0.1002234558
415	0.1000779419
416	0.09996311646
417	0.0997845459
418	0.09968745728
419	0.099615271
420	0.09943011475
421	0.0993043396
422	0.09903746338
423	0.09893886719
424	0.09874620361
