iter	Passed	Remaining
0	1	1656
1	2	1304
2	3	1149
3	4	1062
4	5	1057
5	6	1011
6	7	1009
7	7	986
8	8	965
9	9	943
10	10	924
11	11	933
12	12	916
13	12	904
14	13	896
15	14	885
16	15	885
17	16	881
18	16	875
19	17	869
20	18	863
21	19	856
22	20	849
23	21	857
24	21	852
25	22	852
26	23	848
27	24	846
28	25	845
29	26	841
30	26	837
31	27	833
32	28	838
33	29	835
34	30	833
35	31	832
36	31	829
37	32	825
38	33	822
39	34	819
40	34	816
41	35	813
42	36	816
43	37	816
44	38	814
45	39	817
46	40	816
47	41	814
48	41	812
49	42	814
50	43	812
51	44	819
52	45	816
53	46	814
54	47	813
55	48	811
56	48	810
57	49	808
58	50	805
59	51	804
60	52	802
61	52	799
62	53	797
63	54	800
64	55	798
65	56	797
66	57	796
67	57	794
68	58	792
69	59	790
70	60	792
71	61	791
72	62	790
73	63	790
74	63	789
75	64	788
76	65	787
77	66	790
78	67	789
79	68	788
80	69	787
81	70	785
82	71	788
83	72	786
84	72	785
85	73	783
86	74	784
87	75	782
88	76	780
89	77	778
90	77	776
91	78	776
92	79	774
93	80	772
94	80	771
95	81	770
96	82	769
97	83	772
98	84	770
99	85	769
100	86	767
101	87	766
102	87	764
103	88	763
104	89	761
105	90	759
106	91	760
107	91	758
108	92	756
109	93	754
110	94	752
111	94	751
112	95	751
113	96	750
114	97	748
115	98	747
116	98	746
117	99	745
118	100	743
119	101	742
120	102	741
121	103	742
122	104	742
123	104	741
124	105	739
125	106	737
126	107	738
127	108	736
128	108	735
129	109	733
130	110	732
131	111	730
132	111	729
133	112	728
134	113	727
135	114	726
136	115	725
137	115	723
138	116	723
139	117	722
140	118	720
141	119	721
142	120	720
143	120	718
144	121	717
145	122	715
146	123	714
147	124	715
148	124	713
149	125	712
150	126	711
151	127	710
152	128	709
153	128	708
154	129	707
155	130	705
156	131	704
157	131	703
158	132	701
159	133	700
160	134	699
161	134	698
162	135	697
163	136	695
164	137	694
165	138	693
166	139	693
167	140	693
168	140	692
169	141	691
170	142	691
171	143	690
172	144	690
173	145	689
174	146	688
175	146	687
176	147	687
177	148	686
178	149	684
179	150	683
180	151	684
181	152	683
182	152	681
183	153	680
184	154	679
185	155	679
186	156	678
187	156	677
188	157	677
189	158	676
190	159	675
191	160	674
192	161	673
193	161	672
194	162	671
195	163	670
196	164	669
197	165	668
198	166	668
199	167	668
200	167	666
201	168	665
202	169	664
203	170	664
204	170	663
205	171	662
206	172	661
207	173	661
208	174	660
209	175	659
210	175	658
211	176	657
212	177	656
213	178	655
214	179	654
215	179	653
216	180	651
217	181	650
218	182	649
219	182	648
220	184	649
221	184	647
222	185	646
223	186	646
224	187	645
225	188	645
226	189	644
227	189	643
228	190	642
229	191	641
230	192	640
231	193	639
232	193	638
233	194	637
234	195	636
235	196	635
236	197	634
237	197	633
238	198	632
239	199	632
240	200	631
241	201	630
242	202	629
243	202	628
244	203	627
245	204	627
246	205	627
247	206	626
248	207	626
249	208	625
250	209	624
251	210	623
252	210	622
253	211	621
254	212	620
255	213	619
256	214	619
257	215	618
258	215	617
259	216	616
260	217	615
261	218	615
262	219	613
263	220	613
264	220	612
265	221	611
266	222	610
267	223	609
268	223	608
269	224	607
270	225	606
271	226	605
272	227	604
273	227	603
