epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.0625,2.3078813552856445,,
0,99,0.0625,2.311577796936035,,
0,124,,,0.09099999815225601,2.3022611141204834
1,149,0.09375,2.3185274600982666,,
1,199,0.09375,2.296656370162964,,
1,249,0.09375,2.321458101272583,,
1,249,,,0.11699999868869781,2.302297830581665
2,299,0.09375,2.3260908126831055,,
2,349,0.1875,2.2859091758728027,,
2,374,,,0.11699999868869781,2.302382707595825
3,399,0.1875,2.3062803745269775,,
3,449,0.15625,2.298813819885254,,
3,499,0.125,2.299332618713379,,
3,499,,,0.11100000143051147,2.302224636077881
4,549,0.0625,2.3025240898132324,,
4,599,0.1875,2.3029627799987793,,
4,624,,,0.09799999743700027,2.302804470062256
5,649,0.0625,2.311307430267334,,
5,699,0.0625,2.3185997009277344,,
5,749,0.15625,2.273534059524536,,
5,749,,,0.11999999731779099,2.302032232284546
6,799,0.125,2.302323818206787,,
6,849,0.125,2.30535888671875,,
6,874,,,0.09700000286102295,2.3036301136016846
7,899,0.03125,2.3250744342803955,,
7,949,0.09375,2.291787624359131,,
7,999,0.09375,2.309211254119873,,
7,999,,,0.0949999988079071,2.3047595024108887
8,1049,0.125,2.28643536567688,,
8,1099,0.15625,2.299846887588501,,
8,1124,,,0.09600000083446503,2.30587100982666
9,1149,0.09375,2.298417568206787,,
9,1199,0.125,2.2777228355407715,,
9,1249,0.0625,2.3162248134613037,,
9,1249,,,0.09300000220537186,2.314528226852417
